Адыгея,11970,10295,12018
Алтайский край,12388,11436,12676
Башкортостан,12110,11474,11747
Бурятия,15172,13048,15495
Дагестан,12667,10893,12649
Еврейская АО,18758,16133,18865
Забайкальский край,16286,14005,17236
Ингушетия,13085,11253,13409
Кабардино-Балкария,14179,12194,15576
Калмыкия,12945,11132,13053
Камчатский край,25223,21692,26864
Карачаево-Черкесия,12667,10893,13201
Карелия,16614,14680,16116
Коми,16905,14674,17061
Краснодарский край,13363,11492,12962
Красноярский край,15451,13288,16110
Крым,13501,11612,13992
Марий Эл,12250,10535,12585
Мордовия,11832,10329,11622
Москва,20585,15410,17791
Ненецкий АО,25419,22140,26558
Приморский край,16564,14245,17628
Санкт-Петербург,14476,12450,14042
Саха,21019,18076,21839
Севастополь,13919,11970,14665
Северная Осетия,12528,10775,12409
Ставропольский край,12528,10775,12152
Татарстан,11832,10175,11476
Тыва,14059,12091,13972
Удмуртия,12388,10654,12258
Хабаровский край,18558,15960,20445
Хакасия,14198,12210,14310
Ханты-Мансийский АО,18625,16067,18654
Чечня,13363,11492,12962
Чувашия,11832,10175,11476
Чукотский АО,31736,27293,30784
Ямало-Ненецкий АО,19832,17056,19337
Амур,16174,13910,16806
Архангельск,16147,13886,15805
Астрахань,13501,11612,14170
Белгород,11692,10055,11341
Брянск,13127,11475,13042
Владимир,13501,11612,13097
Волгоград,11970,10319,11914
Вологда,14059,12091,13638
Воронеж,11832,10776,11476
Иваново,12806,11013,12587
Иркутск,14754,12689,14596
Калининград,14337,12330,13907
Калуга,13363,11492,13264
Кемерово,12667,10893,12874
Киров,12388,10725,12690
Алтай,13085,11253,12692
Кострома,12860,11135,12907
Курган,12356,10626,12912
Курск,11792,10461,12157
Ленинград,14059,12091,13638
Липецк,11553,10109,11719
Магадан,24220,20829,26759
Московская область,16223,13951,15737
Мурманск,22250,19135,21582
Нижний Новгород,13085,11253,12692
Новгород,13641,11732,13232
Новосибирск,14053,12086,14562
Омск,12436,10694,12841
Оренбург,12110,10415,11917
Орел,12945,11132,12557
Пенза,11692,10319,11442
Пермь,12806,11013,12726
Псков,13780,11850,13475
Ростов,13085,11253,13319
Рязань,12388,10663,12469
Самара,13085,11253,12692
Саратов,11692,10055,12174
Сахалин,18930,16280,19791
Свердловск,13501,11612,14156
Смоленск,13363,11492,12962
Тамбов,12210,11224,11844
Тверь,13363,11492,13606
Томск,14004,12044,14817
Тула,13641,11732,13232
Тюмень,13919,11970,13723
Ульяновск,12388,10654,12502
Челябинск,13076,11245,13688
Ярославль,13085,11253,12718
